outputfile,description,concurrent,iterations,distribution,P1,P2
Pareto_xm1_l1,Pareto distribution xm=1 lamda=1 concurrent=1 iter=100 GPUmem=80%,1,100,Pareto,1,1
Pareto_xm1_l2,Pareto distribution xm=1 lamda=2 concurrent=1 iter=100 GPUmem=80%,1,100,Pareto,1,2
Pareto_xm1_l3,Pareto distribution xm=1 lamda=3 concurrent=1 iter=100 GPUmem=80%,1,100,Pareto,1,3
Uniform_min0_max1,Uniform distribution min=0 max=1 concurrent=1 iter=100 GPUmem=80%,1,100,Uniform,0,1
Exponential_rt0.5,Exponential distribution rate=0.5 concurrent=1 iter=100 GPUmem=80%,1,100,Exponential,0.5
Exponential_rt1,Exponential distribution rate=1 concurrent=1 iter=100 GPUmem=80%,1,100,Exponential,1
Exponential_rt1.5,Exponential distribution rate=1.5 concurrent=1 iter=100 GPUmem=80%,1,100,Exponential,1.5
Weibull_k0.5_l1,Weibull distribution k=0.5 lamda=1 concurrent=1 iter=100 GPUmem=80%,1,100,Weibull,0.5,1
Weibull_k1_l1,Weibull distribution k=1 lamda=1 concurrent=1 iter=100 GPUmem=80%,1,100,Weibull,1,1
Weibull_k1.5_l1,Weibull distribution k=1.5 lamda=1 concurrent=1 iter=100 GPUmem=80%,1,100,Weibull,1.5,1
Weibull_k5_l1,Weibull distribution k=5 lamda=1 concurrent=1 iter=100 GPUmem=80%,1,100,Weibull,5,1
Poisson_l1,Poisson distribution lamda=1 concurrent=1 iter=100 GPUmem=80%,1,100,Poisson,1
Poisson_l4,Poisson distribution lamda=4 concurrent=1 iter=100 GPUmem=80%,1,100,Poisson,4
Poisson_l10,Poisson distribution lamda=10 concurrent=1 iter=100 GPUmem=80%,1,100,Poisson,10
